leaf_id,species,level,n_features_elevated
siyambala__damaged_mid__image_01,siyambala,mid,3
siyambala__damaged_mid__image_02,siyambala,mid,2
siyambala__damaged_mid__image_03,siyambala,mid,7
siyambala__damaged_mid__image_05,siyambala,mid,4
siyambala__damaged_mid__image_04,siyambala,mid,7
siyambala__damaged_mid__test_2,siyambala,mid,7
siyambala__damaged_mid__image_06,siyambala,mid,4
siyambala__damaged_mid__test_3,siyambala,mid,5
siyambala__damaged_mid__image_07,siyambala,mid,0
siyambala__damaged_mid__image_08,siyambala,mid,5
siyambala__damaged_mid__image_09,siyambala,mid,1
siyambala__damaged_mid__image_10,siyambala,mid,2
siyambala__healthy__image_01,siyambala,healthy,0
siyambala__healthy__image_03,siyambala,healthy,1
siyambala__healthy__image_02,siyambala,healthy,0
siyambala__healthy__image_04,siyambala,healthy,1
siyambala__healthy__image_05,siyambala,healthy,0
siyambala__healthy__image_06,siyambala,healthy,0
siyambala__healthy__image_07,siyambala,healthy,0
siyambala__healthy__image_08,siyambala,healthy,0
siyambala__healthy__image_09,siyambala,healthy,0
siyambala__healthy__image_10,siyambala,healthy,2
siyambala__healthy__image_11,siyambala,healthy,1
siyambala__healthy__image_12,siyambala,healthy,0
siyambala__healthy__image_13,siyambala,healthy,0
siyambala__healthy__image_14,siyambala,healthy,2
siyambala__healthy__image_15,siyambala,healthy,0
siyambala__healthy__image_16,siyambala,healthy,0
siyambala__healthy__image_17,siyambala,healthy,0
siyambala__healthy__image_21,siyambala,healthy,2
siyambala__healthy__image_20,siyambala,healthy,0
siyambala__healthy__image_18,siyambala,healthy,0
siyambala__healthy__image_19,siyambala,healthy,5
siyambala__healthy__test_002,siyambala,healthy,2
siyambala__healthy__test_001,siyambala,healthy,3
siyambala__healthy__test_004,siyambala,healthy,1
siyambala__healthy__test_003,siyambala,healthy,3
siyambala__healthy__image_22,siyambala,healthy,3
siyambala__healthy__test_005,siyambala,healthy,3
siyambala__healthy__image_23,siyambala,healthy,0
siyambala__healthy__image_24,siyambala,healthy,5
siyambala__healthy__image_25,siyambala,healthy,1
thunpath_kurundu__damaged_high__image_01,thunpath_kurundu,high,10
thunpath_kurundu__damaged_high__image_05,thunpath_kurundu,high,10
thunpath_kurundu__damaged_high__image_04,thunpath_kurundu,high,11
thunpath_kurundu__damaged_high__image_06,thunpath_kurundu,high,8
thunpath_kurundu__damaged_high__image_07,thunpath_kurundu,high,10
thunpath_kurundu__damaged_high__test_1,thunpath_kurundu,high,9
thunpath_kurundu__damaged_high__test_2,thunpath_kurundu,high,12
thunpath_kurundu__damaged_high__image_08,thunpath_kurundu,high,11
thunpath_kurundu__damaged_high__image_11,thunpath_kurundu,high,10
thunpath_kurundu__damaged_high__image_12,thunpath_kurundu,high,12
thunpath_kurundu__damaged_high__image_14,thunpath_kurundu,high,14
thunpath_kurundu__damaged_high__image_13,thunpath_kurundu,high,10
thunpath_kurundu__damaged_low__test_1,thunpath_kurundu,low,2
thunpath_kurundu__damaged_low__image_03,thunpath_kurundu,low,9
thunpath_kurundu__damaged_low__image_01,thunpath_kurundu,low,8
thunpath_kurundu__damaged_low__image_05,thunpath_kurundu,low,8
thunpath_kurundu__damaged_low__image_11,thunpath_kurundu,low,5
thunpath_kurundu__damaged_low__image_13,thunpath_kurundu,low,11
thunpath_kurundu__damaged_mid__image_02,thunpath_kurundu,mid,9
thunpath_kurundu__damaged_mid__image_06,thunpath_kurundu,mid,7
thunpath_kurundu__damaged_mid__image_07,thunpath_kurundu,mid,4
thunpath_kurundu__damaged_mid__test_2,thunpath_kurundu,mid,7
thunpath_kurundu__damaged_mid__image_08,thunpath_kurundu,mid,10
thunpath_kurundu__damaged_mid__image_09,thunpath_kurundu,mid,9
thunpath_kurundu__damaged_mid__image_10,thunpath_kurundu,mid,6
thunpath_kurundu__damaged_mid__test_3,thunpath_kurundu,mid,7
thunpath_kurundu__damaged_mid__image_11,thunpath_kurundu,mid,2
thunpath_kurundu__damaged_mid__image_12,thunpath_kurundu,mid,8
thunpath_kurundu__damaged_mid__image_14,thunpath_kurundu,mid,9
thunpath_kurundu__damaged_mid__image_15,thunpath_kurundu,mid,8
thunpath_kurundu__healthy__image_02,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__image_01,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__image_03,thunpath_kurundu,healthy,2
thunpath_kurundu__healthy__image_04,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_05,thunpath_kurundu,healthy,4
thunpath_kurundu__healthy__image_06,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_07,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__image_08,thunpath_kurundu,healthy,3
thunpath_kurundu__healthy__image_09,thunpath_kurundu,healthy,2
thunpath_kurundu__healthy__image_10,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__image_11,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_12,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__image_13,thunpath_kurundu,healthy,2
thunpath_kurundu__healthy__image_14,thunpath_kurundu,healthy,4
thunpath_kurundu__healthy__image_15,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_16,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_17,thunpath_kurundu,healthy,8
thunpath_kurundu__healthy__image_18,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_19,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_20,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__image_21,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__test_001,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__test_002,thunpath_kurundu,healthy,7
thunpath_kurundu__healthy__test_003,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__test_004,thunpath_kurundu,healthy,1
thunpath_kurundu__healthy__test_005,thunpath_kurundu,healthy,4
thunpath_kurundu__healthy__image_22,thunpath_kurundu,healthy,0
thunpath_kurundu__healthy__image_24,thunpath_kurundu,healthy,7
thunpath_kurundu__healthy__image_25,thunpath_kurundu,healthy,0
wal_bilin__damaged_high__image_02,wal_bilin,high,3
wal_bilin__damaged_high__image_05,wal_bilin,high,4
wal_bilin__damaged_high__image_04,wal_bilin,high,4
wal_bilin__damaged_high__image_08,wal_bilin,high,12
wal_bilin__damaged_high__image_09,wal_bilin,high,7
wal_bilin__damaged_high__image_10,wal_bilin,high,10
wal_bilin__damaged_high__test_1,wal_bilin,high,6
wal_bilin__damaged_high__image_11,wal_bilin,high,10
wal_bilin__damaged_high__test_2,wal_bilin,high,6
wal_bilin__damaged_high__image_13,wal_bilin,high,5
wal_bilin__damaged_high__image_14,wal_bilin,high,6
wal_bilin__damaged_high__image_15,wal_bilin,high,17
wal_bilin__damaged_low__test_1,wal_bilin,low,4
wal_bilin__damaged_low__image_07,wal_bilin,low,10
wal_bilin__damaged_low__image_11,wal_bilin,low,5
wal_bilin__damaged_low__image_13,wal_bilin,low,2
wal_bilin__damaged_low__image_12,wal_bilin,low,6
wal_bilin__damaged_low__image_14,wal_bilin,low,10
wal_bilin__damaged_mid__image_01,wal_bilin,mid,1
wal_bilin__damaged_mid__image_02,wal_bilin,mid,8
wal_bilin__damaged_mid__image_03,wal_bilin,mid,4
wal_bilin__damaged_mid__test_2,wal_bilin,mid,1
wal_bilin__damaged_mid__image_04,wal_bilin,mid,6
wal_bilin__damaged_mid__image_05,wal_bilin,mid,0
wal_bilin__damaged_mid__test_3,wal_bilin,mid,5
wal_bilin__damaged_mid__image_07,wal_bilin,mid,3
wal_bilin__damaged_mid__image_06,wal_bilin,mid,3
wal_bilin__damaged_mid__image_08,wal_bilin,mid,7
wal_bilin__damaged_mid__image_09,wal_bilin,mid,8
wal_bilin__damaged_mid__image_10,wal_bilin,mid,2
wal_bilin__healthy__image_01,wal_bilin,healthy,2
wal_bilin__healthy__image_02,wal_bilin,healthy,1
wal_bilin__healthy__image_03,wal_bilin,healthy,1
wal_bilin__healthy__image_04,wal_bilin,healthy,7
wal_bilin__healthy__image_05,wal_bilin,healthy,8
wal_bilin__healthy__image_06,wal_bilin,healthy,0
wal_bilin__healthy__image_07,wal_bilin,healthy,0
wal_bilin__healthy__image_08,wal_bilin,healthy,1
wal_bilin__healthy__image_09,wal_bilin,healthy,3
wal_bilin__healthy__image_10,wal_bilin,healthy,1
wal_bilin__healthy__image_11,wal_bilin,healthy,4
wal_bilin__healthy__image_12,wal_bilin,healthy,2
wal_bilin__healthy__image_13,wal_bilin,healthy,7
wal_bilin__healthy__image_14,wal_bilin,healthy,0
wal_bilin__healthy__image_15,wal_bilin,healthy,2
wal_bilin__healthy__image_16,wal_bilin,healthy,1
wal_bilin__healthy__image_17,wal_bilin,healthy,1
wal_bilin__healthy__image_18,wal_bilin,healthy,1
wal_bilin__healthy__image_20,wal_bilin,healthy,0
wal_bilin__healthy__image_19,wal_bilin,healthy,0
wal_bilin__healthy__image_21,wal_bilin,healthy,0
wal_bilin__healthy__test_001,wal_bilin,healthy,3
wal_bilin__healthy__image_22,wal_bilin,healthy,7
wal_bilin__healthy__test_002,wal_bilin,healthy,3
wal_bilin__healthy__test_003,wal_bilin,healthy,2
wal_bilin__healthy__test_004,wal_bilin,healthy,2
wal_bilin__healthy__test_005,wal_bilin,healthy,1
wal_bilin__healthy__image_23,wal_bilin,healthy,1
wal_bilin__healthy__image_24,wal_bilin,healthy,1
wal_bilin__healthy__image_25,wal_bilin,healthy,1
wal_kollu__damaged_high__image_01,wal_kollu,high,2
wal_kollu__damaged_high__image_06,wal_kollu,high,6
wal_kollu__damaged_high__image_03,wal_kollu,high,9
wal_kollu__damaged_high__image_08,wal_kollu,high,11
wal_kollu__damaged_high__image_09,wal_kollu,high,3
wal_kollu__damaged_high__test_2,wal_kollu,high,2
wal_kollu__damaged_high__test_1,wal_kollu,high,7
wal_kollu__damaged_high__image_10,wal_kollu,high,2
wal_kollu__damaged_high__image_11,wal_kollu,high,10
wal_kollu__damaged_high__test_3,wal_kollu,high,11
wal_kollu__damaged_high__image_12,wal_kollu,high,5
wal_kollu__damaged_high__image_14,wal_kollu,high,11
wal_kollu__damaged_low__test_1,wal_kollu,low,2
wal_kollu__damaged_low__image_12,wal_kollu,low,1
wal_kollu__damaged_low__image_13,wal_kollu,low,1
wal_kollu__damaged_low__image_15,wal_kollu,low,0
wal_kollu__damaged_low__image_14,wal_kollu,low,2
wal_kollu__damaged_low__image_16,wal_kollu,low,4
wal_kollu__damaged_mid__image_02,wal_kollu,mid,1
wal_kollu__damaged_mid__image_01,wal_kollu,mid,5
wal_kollu__damaged_mid__image_03,wal_kollu,mid,2
wal_kollu__damaged_mid__image_04,wal_kollu,mid,1
wal_kollu__damaged_mid__test_2,wal_kollu,mid,2
wal_kollu__damaged_mid__test_3,wal_kollu,mid,3
wal_kollu__damaged_mid__image_05,wal_kollu,mid,2
wal_kollu__damaged_mid__image_06,wal_kollu,mid,0
wal_kollu__damaged_mid__image_07,wal_kollu,mid,5
wal_kollu__damaged_mid__image_08,wal_kollu,mid,1
wal_kollu__damaged_mid__image_09,wal_kollu,mid,8
wal_kollu__damaged_mid__image_10,wal_kollu,mid,3
wal_kollu__healthy__image_01,wal_kollu,healthy,8
wal_kollu__healthy__image_02,wal_kollu,healthy,0
wal_kollu__healthy__image_03,wal_kollu,healthy,1
wal_kollu__healthy__image_04,wal_kollu,healthy,0
wal_kollu__healthy__image_05,wal_kollu,healthy,3
wal_kollu__healthy__image_06,wal_kollu,healthy,3
wal_kollu__healthy__image_07,wal_kollu,healthy,3
wal_kollu__healthy__image_08,wal_kollu,healthy,0
wal_kollu__healthy__image_09,wal_kollu,healthy,0
wal_kollu__healthy__image_10,wal_kollu,healthy,1
wal_kollu__healthy__image_11,wal_kollu,healthy,2
wal_kollu__healthy__image_12,wal_kollu,healthy,0
wal_kollu__healthy__image_13,wal_kollu,healthy,0
wal_kollu__healthy__image_14,wal_kollu,healthy,1
wal_kollu__healthy__image_15,wal_kollu,healthy,9
wal_kollu__healthy__image_16,wal_kollu,healthy,1
wal_kollu__healthy__image_17,wal_kollu,healthy,0
wal_kollu__healthy__image_19,wal_kollu,healthy,0
wal_kollu__healthy__image_20,wal_kollu,healthy,2
wal_kollu__healthy__image_18,wal_kollu,healthy,5
wal_kollu__healthy__image_21,wal_kollu,healthy,1
wal_kollu__healthy__image_22,wal_kollu,healthy,0
wal_kollu__healthy__test_001,wal_kollu,healthy,1
wal_kollu__healthy__test_002,wal_kollu,healthy,0
wal_kollu__healthy__test_003,wal_kollu,healthy,6
wal_kollu__healthy__test_004,wal_kollu,healthy,6
wal_kollu__healthy__test_005,wal_kollu,healthy,0
wal_kollu__healthy__image_23,wal_kollu,healthy,2
wal_kollu__healthy__image_24,wal_kollu,healthy,3
wal_kollu__healthy__image_25,wal_kollu,healthy,0
